No,Judul Berita,Isi Berita,isHoax
1252,Berita Presiden Cina Xi Jinping Tetapkan Hari Kematian Fat Cat Jadi Hari Lelaki Setia Sedunia”,Presiden Cina Xi Jinping menetapkan hari kematian Fat cat akan menjadi hari lelaki setia sedunia. #ripfatcat:broken_heart: #fatcat,TRUE
1253,"Bareksa Gebyar Rewards, Jalankan Tugas Mendapatkan Komisi dari Merchant Bareksa di Grup WhatsApp","BAREKSA GEBYAR REWARDS Cari cuan ribet X Cari cuan gampang Y Hari gini ngapain nyari cuan ribet-ribet, padahal lewat event BAREKSA PLUS udah jadi solusi cari cuan yang paling gampang~ Yuk, buruan gabung bersama BAREKSA sekarang untuk memulai investasi :black_small_square: Kami mengajak kakak-kakak sekalian untuk bisa memiliki kesempatan mengerjakan tugas dari kami dan mendapatkan komis untuk setiap tugas yang dikerjakan. :black_small_square: Tujuan kegiatan ini adalah untuk mempromosikan bareksa sebagai platform yang memberikan banyak kemudahan  untuk mendapatkan keuntungan anda. :black_small_square: Jika anda menyelesaikan tugas hari ini anda berhak mendapatkan komisi yang berikan oleh pihak merchant.",TRUE
1254,Video Artis Tyas Mirasih Ditangkap Polisi,"KOMPAS.com - Beredar kabar bahwa artis Tyas Mirasih ditangkap polisi pada 13 Mei 2024. Namun, setelah ditelusuri, narasi tersebut tidak benar atau hoaks. Narasi soal Tyas Mirasih ditangkap polisi dibagikan oleh akun Facebook ini dan ini. Akun tersebut mengunggah video yang menampilkan Tyas sedang berjalan dan dikawal polisi. Video yang diunggah pada 13 Mei 2024 itu diberikan keterangan demikian: Lama tak terdengar kabarnya. Tyas Mirasih Terlihat di borgol Oleh polisi. Viral penampakan Tyas Mirasig digiring oleh polisi dengan tangn terboborgol. Akun Facebook Tangkapan layar Facebook narasi yang menyebut Tyas Mirasih ditangkap polisi",TRUE
1255,Razia Kendaraan Yang Mati Pajak,"Beredar sebuah pesan berantai yang menginformasikan Pemda, Dishub bekerja sama dengan Polri akan menggelar razia  kendaraan yang mati pajak, bagi kendaraan yang telat membayar pajak selama 3 tahun atau lebih, kendaraan akan langsung ditahan. Pada pesan tersebut juga menyertakan jadwal razia yang akan dilakukan. NARASI: Bagi kendaraan yang telat bayar pajak. Berdasarkan data, ada ratusan ribu motor dan mobil yang belum bayar pajak yang masih menggunakan pelat lama. Bagi kendaraan yang telat bayar pajak 3 tahun atau lebih akan langsung dikandangin. Berikut jadwal razianya. Info dari grup WA kiriman dari Bhayangkara polri: 1. pagi jam 10:00-12:00 2. siang dari jam 15:00-17:00 3. malam dari jam 22:00-24:00 dilanjutkan kembali dari Jam 03:00-05:00 wib. Razia zebra gabungan dengan polres se-indonesia. Lengkapi surat2 kendaraan anda. Mhn ditertibkan atribut2 TNI/Polri yg terpasang di kendaraan anda. Nyaman berkendara untuk keselamatan anda.",TRUE
1256,FIFA Diskualifikasi Timnas Irak Karena Curang Lawan Indonesia,"GEGER !! CURANG LAWAN TIMNAS INDONESIA, PRESIDEN FIFA DISKUALIFIKASI TIMNAS IRAK ",TRUE
1257,Gelombang Dahsyat di Laut Selatan Berpotensi Tsunami,"BENCANA HARI INI~ LAUT SELATAN MENGALAMI GELOMBANG DAHSYAT, BMKG HIMBAU AKAN BERDAMPAK TSUNAMI DAHSYAT ",TRUE
1258,Marteen Paes Menyesal Gabung Timnas Indonesia,MARTEEN PAES MENYESAL GABUNG DENGAN TIMNAS INDONESIA- MALAYSIA INGIN SALIP RANKING FIFA INDONESIA,TRUE
1259,Rokok adalah obat TBC,"Rokok penyembuh TBC, ayah perokok sehat sampai tua",TRUE
1260,"Artikel Akang Sule Meninggal Dunia, Akibat Kecelakaan Maut”","Kabar Duka Cita Innalilahi…!! Akang Sulle Meninggal Dunia, Akibat Kecel4kaan M4ut",TRUE
1261,Gambar Anies Dibaptis 2 Kali,"YOHANES BASWEDAN DI BAPTIS 2X, YG TERAKHIR DI GEREJA PROTESTAN SENTANI PAPUA.. SEBELUM ITU, BELIAU PERNAH DI BERKATI ATAS NAMA BAPA ANAK DAN ROH KUDUS DI GEREJA KATOLIK.. BEGAN NAMA BAPTIS, YOHANES BASWEDAN ✝️ TAPI ITU URUSAN DIA. TOH SEKARANG BELIAU SUDAH MENJADI MURTAD🙏✝️",TRUE
1262,JOKOWI GADAIKAN SEBAGIAN WILAYAH INDONESIA KE ASING,"J0K0W BERULAH LAGI‼BLUM USAI URUSAN UKT & TAPERA, JKW KINI GADAIKAN SEBAGIAN WILAYAH INDONESIA JOKOWI SERAHKAN NKRI KEPADA CHINA? KABAR MENGGEMPARKAN JOKOWI BIANG KEROKNYA SEBAGIAN WILAYAH SUDAH DIGADAIKAN KE ASING",TRUE
1263,"PRABOWO LAWAN PERINTAH JOKOWI, TOLAK MENTAH-MENTAH KAESANG JADI GUBERNUR DKI JAKARTA","TEPAT MALAM JUMAT‼PRABOWO MELAWAN PERINTAH JKW, TOLAK MENTAH2 KAESANG JADI GUBERNUR DKI KABAR MENGGEMPARKAN PRABOWO LAWAN PERINTAH JKW TOLAK MENTAH2 KAESANG JADI GUBERNUR DKI",TRUE
1264,Video Meteor Jatuh di Amerika Membentuk Lafaz Allah,Meteor jatuh di Amerika Serikat berbentuk ALLAHU. Pertanda apakah ini? Meteor jatuh saat dua gerhana di bulan ramadhan,TRUE
1265,"Video Pernyataan Wasit VAR pada Laga Indonesia vs Uzbekistan, Hanya Menjalankan Tugas”","Pengakuan mengejutkan wasit VAR usai diselidiki lebih dalam dia langsung ngomong gini. Pertandingan sepak bola antara Indonesia dan Uzbekistan mengguncang jagat sepak bola. Namun, sorotan besar tidak jatuh pada lapangan, melainkan pada wasit VAR Sivakorn Pu-Udom yang mengungkapkan dalam pengalamannya dalam memutuskan suatu keputusan yang menjadi sorotan, setelah gol tim Indonesia dianulir karena offsite pertandingan tersebut menjadi pusat perhatian. Dalam wawancara eksklusif, Sivakorn Pu-Udom menceritakan mengejutkan tentang perannya dalam keputusan kontroversial tersebut. saya hanya menjalankan tugas saya, tegasnya. Pu-Udom menjelaskan perannya sebagai wasit VAR adalah untuk memeriksa dan melihat ulang situasi krusial dalam pertandingan.",TRUE
1266,"Prabowo: Atas Kemenangan Satu Putaran Ini, Saya Akan Sedekah Ribuan Sprei Kasur”","Atas kemenangan satu putaran ini, saya akan sedekah ribuan sprei kasur, bahannya premium tebal halus dan sudah gratis sarung bantal, yang mau spreinya komen mau",TRUE
1267,Polisi Razia Orang Berkaos Palestine,"Beredar sebuah video beberapa polisi sedang mengamankan sekelompok pemuda yang menggunakan kaos berwarna hitam. Polisi tersebut terdengar menanyakan darimana mendapatkan kaos tersebut. Pada pesan berantai tersebut, diklaim bahwa polisi melakukan razia kepada orang yang menggunakan baju Pakestine, disertai dengan narasi sebagai berikut. NARASI: ALLAHU AKBAARRR!!!! tidak boleh pakai kaos Bela Palestina*JELAS SUDAH ADA YAHUDI PESEK adalah Bagian Dari Zionisme sudah Ada Di Indonesia, All eyes on Arafah semua sudah dibantai oleh Israeeellll. ",TRUE
1268,LOWONGAN KERJA OLEH HOTEL ASTON BANUA BANJARMASIN,"Beredar informasi seputar lowongan kerja di Hotel Aston Banua, Banjarmasin. Informasi tersebut diunggah oleh akun Julia Nadira di grup Facebook Loker Banjarmasin, pada 13 Mei 2024. ",TRUE
1269,DENNIS LIM PROMOSIKAN SITUS JUDI ONLINE,"Akun Facebook bernama E200m satu mengunggah video yang menampilkan artikel detik.com berjudul Memasuki Bulan Ramadhan, Ustadz Dennis Lim Berbagi Uang Melalui Situs E200M dan sosok Ustadz Dennis Lim yang tengah menerangkan seputar dinamika dan cara kerja situs judi online. Video dengan durasi 49 detik tersebut berisi potongan video yang menampilkan Dennis tengah berada di sebuah acara podcast dari akun YouTube kasisolusi. Sampai dengan artikel ini dibuat, video unggahan akun E200m satu telah disukai lebih dari 3400 kali dan 2300 komentar dari pengguna Facebook lainnya. ",TRUE
1270, Turki kirim Pasukan Tempur ke Gaza untuk Bantu Palestina”,"ALLAHU AKBAR !!Setelah Presiden Turki RT Erdogan mengutuk keras atas serangan bom Israel zionist di Rafah,Erdogan  mengatakan Israel adalah terrorist dan #BenjaminNetanyahu adalah PSIKOPAT . Kini pasukan tempurnya di kirim ke Gaza untuk gabung membela Palestina.",TRUE
1271, Menag minta masyarakat iklaskan Dana Haji dipakai Pemerintah untuk IKN”,Benarkah???:face_with_rolling_eyes: Menteri agama paling dzolim dan paling ga berguna utk umat Islam.Astaghfirullaah..,TRUE
1272, Penggalian tol di Jawa Timur mengeluarkan minyak mentah,"Berita viral, penggalian tol daerah Jawa Timur keluar minyak mentah",TRUE
1273, Emas Antam keluaran 2010-2021 adalah emas palsu,Waspada emas Antam palsu,TRUE
1274,Anies Adakan Kebaktian di Rumahnya,"Anies Murtad Adakan Kebaktian Gereja Di Rumahnya, Coba Ini Ganjar Cocotnya Kadrun Ramai Sampai Langit Ke 7. Gimana ini? Apa Kaum Kampret & KaDrun, tetap harus teriak TakBir ?!",TRUE
1275,Tsunami di Laut Selatan Pangandaran,LAUT SELATAN TERJADI TSUNAMI  PANGANDARAN TERJADI GELOMBANG DASYAT SMUA WARGA HISTERIS,TRUE
1276,Disease X Bocoran Pandemi Berikutnya yang Disiapkan oleh WHO ,"LAWAN PLANDEMIC WHO !!! SITI FADILAH BUKA SUARA KONTROVERSI FLU BURUNG & DISEASE X Pandemi Covid-19 sudah lama berlalu. Walau virus ini sudah terjadi selama 2 tahun lebih, nampaknya Covid-19 masih menyisakan banyak pertanyaan bagi masyarakat luas. Dr.dr.Siti Fadilah Supari,Sp.JP(K) angkat suara Beliau merasa terdapat konspirasi dengan pandemi Covid-19 ini. Ngobrol soal pandemi ini, beliau pun menceritakan saat flu burung muncul ke publik dan bocoran soal Disease X",TRUE
1277,Virus SARS-CoV-2 Telah Dipatenkan Sejak 2015,"Katanya di Singapore, si kopit mulai merajalela lagi. Jadi pengen bahas konstipasi. Gua mau coba ek ek dulu karena konstipasi, meanwhile lu orang baca postingan ini. Papernya: Ambati et al. 2022. MSH3 Homology and Potential Recombination Link to SARS-CoV-2 Furin Cleavage Site.",TRUE
1278,"Laut Sabang dan Mentawai Diterjang Ombak 4,5 M",BENCANA HARI INI~PULUHAN WARGA TEWAS..HARI INI OMBAK BESAR MENYAPU HABIS 2 DAERAH BALI SIANG INI.,TRUE
1279,Ombak Besar Menyapu Habis 2 Daerah di Bali,BENCANA HARI INI~PULUHAN WARGA TEWAS..HARI INI OMBAK BESAR MENYAPU HABIS 2 DAERAH BALI SIANG INI.,TRUE
1280,Surat Panggilan Tes Calon Karyawan Pertamina Mei 2024,"Nomor: 259/HRD/BUMN/PT.PERTAMINA/V/2024 Sehubungan Dengan Recruitment Karyawan BUMN PT. Pertamina (Persero) Tahun 2024 Untuk Wilayah Penempatan Kerja Sesuai Domisili Calon Karyawan PT. Pertamina (Persero) Di Seluruh Indonesia. Maka Kami Beritahukan Bahwa Dengan Ini Saudara/Sandari Di Nyatakan Lulus Seleksi Dan Wajib Mengikuti Seleksi Tes Selanjutnya Sampai Tahap Akhir Sesuai Dengan jadwal Berikut: Mengingat Pentingnya Tahap Tersebut Di Atas Maka Peserta Tidak Boleh Di Wakili Dan Jadwal Yang Kami Tentukan, Maka Peserta Yang Bersangkutan Secara Otomatis Kami An Tahap Tersebut Untuk Menentukan Ke Lulusan. Demikian Undangan Ini Di Sampaikan Atas",TRUE
1281,Akun WhatsApp Mengatasnamakan Pegawai Kejari Hulu Sungai Tengah,62 812 4478 8339 jaks,TRUE
1282,Artis Tyas Mirasih Ditangkap Polisi,artis tyas mirasih ditan9kap poli5i Ada yang tau k4sus apa ?,TRUE
1283,Tentara Merah Cina Mendarat di Bandara Indonesia Tiap Jam,"INDONESIA DIUJUNG TANDUK…!!! 1 April 2024, tentara2 merah china perjam mendarat..WASPADALAH",TRUE
1284,Foto potongan Rekaman CCTV Kasus Pembunuhan Vina Cirebon,Jangan hilangkan bukti Semua bukti ada di CCTV di Cirebon mau dihilangkan ya CCTV di Cirebon mirip km 50 ,TRUE
1285,Hercules Jadi Menteri Pertahanan Kabinet Prabowo- Gibran,Kabinet Prabowo- Gibran Hercules Menteri PertahananRI,TRUE
1286,"Calvin Verdonk Beri Pernyataan, Indonesia Satu-Satunya Tim Asia Yang Lolos Piala Dunia 2026","PERNYATAAN JUJUR CALVIN VERDONK, TIMNAS INDONESIA SATU-SATUNYA TIM ASIA YANG LOLOS PIALA DUNIA 2026",TRUE
1287,Hashim Akui Kemenangan Anies,Oh… Alhamdulillah udah akui pk Anis menang ,TRUE
1288,Ronaldo Berikan Dukungan Kepada Anak Anak di Gaza,Cristiano Ronaldo secara terbuka menunjukkan empati dan dukungannya kepada bangsa Palestina. Ayo tunjukkan keberpihakanmu juga!,TRUE
1289,"Tanggul Gunung Kidul Ambruk, Gelombang Capai 12 Meter Seretkan Puluhan Korban Jiwa","BENCANA HARI INI~ TANGGUL GUNUNG KIDUL AMBRUK, GELOMBANG CAPAI 12 METER SERETKAN PULUHAN KORBAN JIWA",TRUE
1290,Himbauan untuk Mewaspadai Aksi Balas Dendam Komplotan Begal di Sumut,"*Mohon perhatian sebentar!* Hati2 utk Wilayah seluruh negara indonesia, khususnya daerah Sumatera-Utara  (kota Medan dan sekitarnya). Pihak kepolisian akan melakukan Razia besar2an di semua titik. Razia dilakukn Gabungan mulai dr Mabes, Polda hingga Polres. Karena banyak kerabat para Pembegal atau Genk motor yang akan membalas dendam dikarenakan rekan2 mereka banyak yg tertangkap & ada juga yang dibakar.  Mereka berkata:  bahwasannya kami para pembegal motor  akan membalas dendam atas perlakuan masyarakat yang main bakar terhadap angota kami, bahkan akan lebih kejam & brutal di jalanan Mereka berjanji setiap ada pengendara sepeda motor di pagi sd malam & dini hari akan dibacok dan dicincang. Tlg sebarkn informasi ini bhw mulai jam 10 malam besok sd dini hari, penduduk dilarang beraktifitas keluar rumah disebabkn adanya teror balas-dendam dr komplotan pembegal dan Genk motor.  Tadi siang kantor  Polsek dilempari kertas yang bertulisan *Nyawa harus dibayar dengan Nyawa dan kami akan bertumbuh menjadi besar* Para warga dihimbau *JANGAN* keluar pada mlm & dini hari utk sementara, jk *TIDAK* ada hal2 yg mendesak. *Demikian pesan dr humas Mabes-Polri.* Bantu Share Ɣªª... demi keselamatn kwn2 & keluarga kita.",TRUE
1291,SRI MULYANI BONGKAR SOAL EKONOMI RI KE PRABOWO,GEGER SORE INI..!!! SRI MULYANI BONGKAR SOAL EKONOMI RI KE PRABOWO BREAKING NEWS KITA DALAM BAHAYA PAK..? SRI MULYANI BUKA EKONOMI YANG SEBENARNYA,TRUE
1292,PRABOWO MURKA AKIBAT JADI KORBAN KEBIJAKAN JOKOWI,"INNALILLAHIKABAR DUKA, PRABOWO KINI JADI KORBAN KEBIJAKAN HARAM J0K0WI KABAR MENGGEMPARKAN PRABOWO JADI TUMB4L J0K0WI PRABOWO MURKA AKIBAT DI JEBAK JOKOWI",TRUE
1293,JOKOWI GUNAKAN CARA LICIK UNTUK LOLOSKAN KAESANG,GEGER PAGI INI..!!! KEBUSUKAN JKW TERBONGKAR GUNAKAN CARA LICIK LOLOSKAN KAESANG BREAKING NEWS PERSEKONGKOLAN TRBONGKAR JOKOWI GUNAKAN TTAK TIK LICIK LOLOSKAN KAESANG,TRUE
1294,PERNIKAHAN SEJENIS DI WONOSOBO”,"Beredar sebuah video yang memperlihatkan situasi menjelang ijab kabul, beserta sosok dua orang pria yang mengenakan jas hitam dan juga narasi PERNIKAHAN SEJENIS DI WONOSOBO. video tersebut diketahui diunggah oleh akun Instagram @tariborju pada 16 Mei 2024. Sampai dengan artikel ini dibuat, video unggahan @tariborju telah disukai sebanyak 3586 kali dan mendapat 1578 komentar dari pengguna Instagram lainnya. ",TRUE
1295, Cina menguasai Indonesia melalui IKN,Tahapan Skenario Cina Caplok Indonesia Tanpa Perang.,TRUE
1296, Ruben Onsu Meninggal Dunia,Kabar duka.. Innalilahi.. artis ternama Ruben Onsu telah meninggal dunia,TRUE
1297, Vaksin COVID-19 picu Kanker Turbo,Pakar medis peringatkan vaksin Covid mungkin memicu turbo kanker,TRUE
1298,Asosiasi Voli Korea Minta Megawati Hangestri Pindah Negara Usai Namanya Dicoret PBVSI dari Skuad AVC 2024,MENGEJUTKAN!!ASOSIASI VOLI TIMNAS KOREA MINTA MEGA PINDAH NEGARA USAI DI CAMPAKAN OLEH PBVSI… | ASOSIASI KOREA MINTA MEGA PINDAH NEGARA USAI MEGAWATI DI CORET PBVSI DI AVC CHALLENGE CUP 2024,TRUE
1299,PBVSI Kirim Pemain Pelapis di AVC 2024 untuk Permalukan Indonesia,"DI LUAR NALAR!!LAGI PBVSI UNGKAP ALASAN TAK MASUK AKAL USAI KIRIM PEMAIN PELAPIS DI AVC… | AMBISI PERMALUKAN INDONESIA, PBVSI KEMBALI KIRIM PEMAIN PELAPIS TIMNAS VOLI PUTRA DI AVC CHALLENGE CUP",TRUE
1300,Menpora Ancam Akan Pecat Ketum PBVSI Usai Tim Voli Putri Finish di Peringkat Tujuh AVC 2024,"PBVSI KERINGAT DINGIN!!MENPORA ANCAM PECAT KETUM PBVSI USAI TIMNAS PUTRI FINIS DI POSISI 7 DI AVC… | PBVSI MASIH BUNGKAM DENGAN KESALAHANNYA, PRESTASI TERBURUK TIMNAS VOLI PUTRI INDONESIA DI AJANG AVC CHALLENGE",TRUE
1301,Erick Thohir Pecat Imam Sudjarwo Karena Dianggap Tidak Mampu Mengurus PBVSI,"MANTAP! ERIK TOHIR LANGSUNG TURUN TANGAN PANGGIL & COPOT IMAM SUDJARWO KARENA GAK BECUS URUS PBVSI? | ERICK THOHIR PECAT PBVSI, MENGEJUTKAN!",TRUE
1302,Presiden Jokowi Minta Erick Thohir dan Menpora Dito Pecat Ketua PBVSI,"MENGEJUTKAN! PRESIDEN JOKOWI TURUN TANGAN MINTA ERIK THOHIR & MENPORA COPOT KETUA PBVSI KARENA INI? | ANDA MAU SAYA PECAT DARI PBVSI, JOKOWI PERINTAHKAN MENPORA DITO COPOT KETUA PBVSI KARENA INI",TRUE
1303,SRI MULYANI DAN AHOK BERHASIL RINGKUS ORANG BESAR ISTANA,"MAMFUSSJ0K0WI PUCAT, SRI MULYANI & AHOK BERHASIL RINGKUS ORANG BESAR ISTANA INI KABAR MENGGEMPARKAN AHOK KEMBALI GEGERKAN PUBLIK BERHASIL R1NGKUS ORANG BESAR ISTANA INI",TRUE
1304,Gambar Artikel berjudul Menag minta masyarakat ikhlaskan Dana Haji dipakai Pemerintah untuk IKN”,Menag minta masyarakat ikhlaskan Dana Haji dipakai Pemerintah untuk IKN,TRUE
1305,"Paket COD dari Cina Berisi Narkoba


",HATI-HATI PAKET COD YANG MENJEBAK,TRUE
1306,Penerima Vaksin COVID-19 mRNA akan Meninggal dalam 5-10 Tahun,"Prof. Dolores Cahill, University college Dublin-gelar profesr dlm genetika molekuler dr Trinity College Dublin&gelar PhD bidng Imunologi dr Dublin City University. Dia memprediksi, org yg menggunakan vaksin covid-19 akan mati dlm 5 hnga 10 thn. *Aliansi kebebasan dunia@Kopenhagen*.",TRUE
1307,Cara Memeriksa Ponsel yang Disadap dengan Nomor *#21#,Tiga tanda Hape kamu kena Hack No 3 ini yg sangat mengerikan.,TRUE
1308,"saya King kevin 200 orang tercepat yang mengucapkan {HADIR} aku transfer 25 juta , secara acak”","saya King kevin 200 orang tercepat yang mengucapkan {HADIR} aku transfer 25 juta , secara acak",TRUE
1309,Mir’a Hayati berbagi THR 35 juta Rupiah melalui akun Facebook Mira Hayati”,"untuk 100 orang tercepat yang mengucapkan {halo} aku transfer 5 juta secara acak , ini nyata.",TRUE
1310,Ivan Gunawan berbagi hadiah melalui akun Facebook Igun Berbagi”,"Saya Ivan Gunawan 170 orang tercepat yang mengucapkan {HADIR} aku transfer 5 juta secara acak , ini nyata.",TRUE
1311,𝘗𝘙𝘖𝘎𝘙𝘈𝘔 2024 𝘣𝘢𝘨𝘪 𝘴𝘦𝘮𝘶𝘢 𝘯𝘢𝘴𝘢𝘣𝘢𝘩 BANK JATIM 𝘺𝘢𝘯𝘨 𝘴𝘶𝘥𝘢𝘩 𝘮𝘦𝘯𝘨𝘨𝘶𝘯𝘢𝘬𝘢𝘯 LAYANAN Mobile Banking/𝘚𝘮𝘴 𝘉𝘢𝘯𝘬𝘪𝘯𝘨”,"𝘗𝘙𝘖𝘎𝘙𝘈𝘔 2024 𝘣𝘢𝘨𝘪 𝘴𝘦𝘮𝘶𝘢 𝘯𝘢𝘴𝘢𝘣𝘢𝘩 BANK JATIM 𝘺𝘢𝘯𝘨 𝘴𝘶𝘥𝘢𝘩 𝘮𝘦𝘯𝘨𝘨𝘶𝘯𝘢𝘬𝘢𝘯 LAYANAN Mobile Banking/𝘚𝘮𝘴 𝘉𝘢𝘯𝘬𝘪𝘯𝘨 𝘎𝘦𝘣𝘺𝘢𝘳 𝘜𝘯𝘥𝘪𝘢𝘯 𝘉𝘦𝘳𝘩𝘢𝘥𝘪𝘢𝘩 𝘏𝘢𝘥𝘪𝘳 𝘬𝘦𝘮𝘣𝘢𝘭𝘪, 𝘈𝘺𝘰 𝘣𝘶𝘳𝘶𝘢𝘯 𝘥𝘢𝘧𝘵𝘢𝘳 𝘢𝘨𝘢𝘳 𝘮𝘦𝘮𝘦𝘯𝘢𝘯𝘨𝘬𝘢𝘯 𝘨𝘳𝘢𝘯𝘥 𝘱𝘳𝘪𝘻𝘦 𝘴𝘦𝘱𝘦𝘳𝘵𝘪 :   – 5 𝘶𝘯𝘪𝘵 𝘮𝘰𝘣𝘪𝘭 𝘈𝘭𝘱𝘩𝘢𝘳𝘥 – 5 𝘶𝘯𝘪𝘵 𝘮𝘰𝘣𝘪𝘭 𝘊𝘙-𝘝 𝘛𝘶𝘳𝘣𝘰 – 5 𝘶𝘯𝘪𝘵 𝘮𝘰𝘣𝘪𝘭 𝘏𝘙-𝘝 𝘊𝘝𝘛 – 5 𝘶𝘯𝘪𝘵 𝘮𝘰𝘣𝘪𝘭 𝘟𝘱𝘢𝘯𝘥𝘦𝘳 – 5 𝘶𝘯𝘪𝘵 𝘮𝘰𝘣𝘪𝘭 𝘍𝘰𝘳𝘵𝘶𝘯𝘦𝘳 – 8 𝘶𝘯𝘪𝘵 𝘔𝘰𝘵𝘰𝘳 𝘚𝘤𝘰𝘱𝘺 – 8 𝘶𝘯𝘪𝘵 𝘔𝘰𝘵𝘰𝘳 𝘟𝘮𝘢𝘹 – 20 𝘜𝘯𝘪𝘵 𝘛𝘝 𝘓𝘦𝘥 50 𝘪𝘯. – 20 𝘶𝘯𝘪𝘵 𝘚𝘮𝘢𝘳𝘵𝘱𝘩𝘰𝘯𝘦 𝘱𝘳𝘰𝘮𝘢𝘹14 – 20 𝘦𝘮𝘢𝘴 𝘣𝘢𝘵𝘢𝘯𝘨𝘢𝘯 & 𝘓𝘰𝘨𝘢𝘮 𝘮𝘶𝘭𝘪𝘢 – 20 𝘗𝘢𝘬𝘦𝘵 𝘞𝘪𝘴𝘢𝘵𝘢 𝘴𝘪𝘯𝘨𝘨𝘢𝘱𝘰𝘳𝘦 – 50 𝘗𝘢𝘬𝘦𝘵 𝘜𝘮𝘳𝘰𝘩 𝘎𝘳𝘢𝘵𝘪𝘴 𝘔𝘢𝘴𝘪𝘩 𝘣𝘢𝘯𝘺𝘢𝘬 𝘬𝘦𝘶𝘯𝘵𝘶𝘯𝘨𝘢𝘯 𝘭𝘢𝘪𝘯𝘯𝘺𝘢… 𝘐𝘯𝘧𝘰 𝘭𝘦𝘣𝘪𝘩 𝘭𝘢𝘯𝘫𝘶𝘵 𝘵𝘦𝘯𝘵𝘢𝘯𝘨 𝘱𝘦𝘯𝘥𝘢𝘧𝘵𝘢𝘳𝘢𝘯 GEBYAR UNDIAN BANK JATIM 𝘴𝘪𝘭𝘢𝘬𝘢𝘯 𝘬𝘭𝘪𝘬 𝘮𝘦𝘯𝘶 (𝘋𝘢𝘧𝘵𝘢𝘳) 𝘠𝘢𝘯𝘨 𝘚𝘶𝘥𝘢𝘩 𝘬𝘢𝘮𝘪 𝘴𝘦𝘥𝘪𝘢𝘬𝘢𝘯…",TRUE
1312,Poster Film PEGI Kisah Nyata Pelarian Pembunuh Vina”,Sekuel selanjutnya,TRUE
1313,Momen Penangkapan Linda Teman Vina Pembunuhan Cirebon,Momen Penangkapan Linda Teman Vina Pembunuhan Cirebon,TRUE
1314,Gambaran Bagi-bagi Sembako di Zaman Kolonial,"REZIM TENGIK SENGAJA MEMBODOHKAN DAN MEMISKINKAN RAKYAT… MASYARAKAT DIMISKINKAN, RAKYAT KECIL DIBERI BANTUAN SEOLAH MEREKA PAHLAWAN Gambaran Bagi Bagi Sembako Di Zaman Kolonial ",TRUE
1315,Starbuck ganti nama jadi Vista Coffee…Pizza Hut ganti nama jadi Ristorante,"Starbuck ganti nama jadi Vista Coffee…Pizza Hut ganti nama jadi Ristorante. Hati2 jangan salah konsumsi, boikot jalan terus!",TRUE
1316,Paket Berisi Narkoba Berasal dari Cina,"Dapet info dr Jogya, bahwa mulai ada paket2 yg dikirim ke rumah2, ke toko2 & ke kantor, akan terus berdatangan COD tsb, katanya dr China. Padahal sipenerima tdk pernah order barang. Hati2 ini penipuan Sindikat narkoba. Nanti kalau kita tolak, bilang kita gk order ini barang, sipengantar akan meminta kita difoto bersama orderan barangnya, katanya utk konfirmasi ke China. Jangan mau difoto. Biar ngotot maksa pun jangan mau difoto. Ini pemerasan jaringan narkoba!",TRUE
1317,Mobil Presiden Jokowi Parkir di depan Polsek Cirebon,BAPAK JOKOWI MEMANG HARUS DATANG LANGSUNG KEPOLSEK mobil presiden Jokowi dgr2 parkir d polres Cirebon bnr kah??kpn??,TRUE
1318,AKUN WHATSAPP PJ BUPATI KAMPAR 0819-1550-1332”,"Beredar sebuah akun WhatsApp yang mengatasnamakan PJ Bupati Kampar, Hambali. Akun WhatsApp dengan nomor 0819-1550-1332 diketahui menggunakan nama serta foto Hambali, dan telah menghubungi sejumlah pihak di wilayah Kampar. ",TRUE
1319,"AKUN WHATSAPP KEPALA DESA BABADAN , KECAMATAN GUNUNGJATI, KABUPATEN CIREBON MEMINTA KIRIMAN PULSA"," Beredar akun WhatsApp bernomor 0877-4654-1549 mencatut nama Kepala Desa Babadan, Kecamatan Gunungjati, Kabupaten Cirebon, Hanto. Dalam narasi pesan yang beredar, si pengirim meminta sejumlah pulsa dengan nominal senilai Rp200 ribu. Akun tersebut diketahui menggunakan nama serta foto Hanto yang tengah mengenakan seragam dinas, dan menghubungi sejumlah pihak di lingkup kerja Hanto. ",TRUE
1320,DANA BANTUAN MASYARAKAT SENILAI RP175 JUTA OLEH KEMENSOS," Beredar sebuah informasi yang mengklaim akan adanya dana bantuan sosial masyarakat yang berasal dari Kementerian Sosial senilai Rp175 juta. Dalam narasi yang diunggah oleh akun Facebook Bantuan Dana Sosial Indonesia 2024 tersebut, terdapat awalan yang menyebut jika informasi yang diberikan merupakan informasi resmi. Sampai dengan artikel ini dibuat, unggahan tersebut telah disukai sebanyak 270 kali, dengan 103 komentar dan 3 kali dibagikan oleh pengguna Facebook lainnya. ",TRUE
